dataset,structure_id,config_id,n_til,dE_DFT_eV,dE_UMA_eV,ga_faces,h_faces
energy-1st,12078,-1,0,1.402418,1.254841,28;42;56,1;3;7;9;11;13;15;19;21;25;35;39;47;53;63;67;69;71
energy-1st,12207,-1,0,1.142766,1.069067,28;42;56,1;3;5;9;11;13;15;21;25;33;35;39;47;59;63;65;69;71
energy-1st,17799,-1,0,1.15463,0.979717,28;42;56,1;3;5;7;9;11;21;35;37;39;47;51;53;59;63;65;67;71
energy-1st,40916,-1,0,1.983329,1.593758,28;42;56,9;11;13;15;21;25;33;35;37;39;47;51;53;59;63;65;67;69
energy-1st,45768,-1,0,1.085339,0.811225,28;42;56,1;3;5;9;11;13;15;19;21;25;33;37;39;51;53;59;67;71
energy-1st,47169,-1,0,1.251227,1.119113,28;42;56,1;3;5;7;9;11;13;15;19;21;25;35;37;53;59;63;65;71
energy-1st,50212,-1,0,0.379158,0.334526,28;42;56,1;5;7;9;11;13;15;21;25;33;35;37;51;59;63;65;67;71
energy-1st,63597,-1,0,0.378552,0.382007,28;42;56,1;3;5;7;9;11;13;15;21;33;35;47;49;51;59;63;65;71
energy-1st,64735,-1,0,0.637895,0.537773,28;42;56,1;5;9;11;13;15;19;21;35;39;47;49;51;53;59;63;67;71
energy-1st,65467,104316,1,0.408655,0.390014,28;42;56,1;3;7;9;11;13;15;21;33;35;39;49;51;59;63;65;67;71
energy-1st,70474,-1,0,1.558947,1.347825,28;42;56,1;5;7;9;11;19;21;25;33;35;39;47;49;63;65;67;69;71
energy-1st,70794,-1,0,1.613646,1.299662,28;42;56,1;5;7;9;11;15;19;21;25;33;35;39;49;53;63;67;69;71
energy-1st,73945,105587,1,0.522891,0.456419,28;42;56,1;3;5;7;9;11;15;21;25;35;39;49;51;53;59;63;67;71
energy-1st,74035,100738,1,0.248246,0.230793,28;42;56,1;3;7;9;11;15;21;25;33;35;39;49;51;59;63;65;67;71
energy-1st,74153,-1,0,0.752596,0.680491,28;42;56,1;3;5;7;9;11;15;21;25;35;39;47;49;51;59;63;65;67
energy-1st,75963,-1,0,1.019459,0.932454,28;42;56,3;7;9;11;13;15;21;25;33;35;39;49;51;59;65;67;69;71
energy-1st,80930,-1,0,0.968131,0.900921,28;42;56,1;3;5;7;9;11;13;15;21;25;35;47;49;53;59;65;69;71
energy-1st,85899,-1,0,1.250234,1.121361,28;42;56,1;3;5;7;9;11;13;15;21;25;33;35;47;49;53;63;65;71
energy-1st,86372,-1,0,0.480828,0.416739,28;42;56,1;3;5;9;11;13;19;21;25;35;39;47;49;53;59;63;67;69
energy-1st,87487,-1,0,0.584701,0.567973,28;42;56,1;3;5;9;11;13;15;21;25;35;39;47;49;53;59;63;67;71
energy-1st,88425,-1,0,0.306852,0.310808,28;42;56,1;3;7;9;11;13;19;21;25;35;47;49;51;59;63;65;67;71
energy-1st,88445,101343,2,0.209277,0.22798,28;42;56,1;3;5;7;9;11;13;21;25;33;35;49;51;59;63;65;69;71
energy-1st,89129,-1,0,0.569672,0.514828,28;42;56,1;5;9;11;13;15;19;21;25;35;47;49;51;53;59;63;65;69
energy-1st,89596,-1,0,0.251716,0.267178,28;42;56,1;3;7;9;11;13;15;21;25;33;35;49;51;59;63;65;67;71
energy-1st,89825,-1,0,0.802803,0.732934,28;42;56,1;3;9;11;13;15;21;25;35;47;49;51;53;59;63;65;67;71
energy-1st,90936,-1,0,0.134961,0.187219,28;42;56,1;3;5;7;9;11;13;21;25;35;39;47;49;51;59;63;65;71
energy-1st,90939,100875,2,0.203811,0.191165,28;42;56,1;3;5;7;9;11;13;21;25;33;35;39;49;51;59;63;65;71
energy-1st,91378,-1,0,0.440003,0.40109,28;42;56,1;5;7;9;11;13;15;21;25;35;39;47;49;51;59;63;67;71
energy-1st,91735,-1,0,0.209984,0.188871,28;42;56,1;5;7;9;11;13;15;21;25;35;39;49;51;59;63;65;69;71
energy-1st,92137,-1,0,0.392255,0.379423,28;42;56,1;3;7;9;11;13;15;21;25;33;35;39;49;51;59;63;67;71
energy-1st,94438,-1,0,2.006526,1.895665,28;42;56,5;7;9;11;19;21;33;35;37;39;47;49;51;53;63;65;69;71
energy-1st,102370,-1,0,1.498791,1.204852,28;42;56,3;5;7;9;11;13;15;21;33;35;37;47;49;51;53;65;67;69
energy-1st,105469,-1,0,0.512082,0.456609,28;42;56,3;7;9;11;13;15;19;21;35;37;47;49;51;59;63;65;67;71
energy-1st,109772,-1,0,0.446646,0.411697,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;51;53;67;69;71
energy-1st,109886,-1,0,0.478368,0.44716,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;51;59;65;67;71
energy-1st,112604,-1,0,0.488548,0.421456,28;42;56,1;5;7;9;11;13;15;21;35;37;47;49;53;59;63;65;67;71
energy-1st,112750,-1,0,0.943143,0.765441,28;42;56,1;3;5;7;9;11;13;15;19;21;33;35;37;47;49;53;63;71
energy-1st,112829,-1,0,0.696692,0.579857,28;42;56,1;3;7;9;11;13;15;21;35;37;47;49;59;63;65;67;69;71
energy-1st,114009,-1,0,1.003341,0.791881,28;42;56,1;5;7;9;11;13;15;19;21;35;37;39;47;49;53;59;63;67
energy-1st,114740,-1,0,0.811578,0.69322,28;42;56,1;3;9;11;13;15;19;21;33;35;37;39;47;49;63;65;67;71
energy-1st,115507,-1,0,0.272686,0.240636,28;42;56,1;3;5;9;11;13;19;21;35;37;47;49;51;53;63;67;69;71
energy-1st,115526,-1,0,0.717286,0.621013,28;42;56,1;3;5;7;9;11;13;19;21;35;37;47;49;51;53;63;67;69
energy-1st,115618,-1,0,0.576002,0.525739,28;42;56,1;3;5;7;9;11;13;21;33;35;37;49;51;63;65;67;69;71
energy-1st,115690,-1,0,0.518366,0.398967,28;42;56,1;3;7;9;11;13;21;35;37;47;49;51;53;59;63;65;67;71
energy-1st,115876,-1,0,0.844972,0.759374,28;42;56,1;5;9;11;13;15;19;21;33;35;37;47;49;51;59;63;69;71
energy-1st,115884,-1,0,0.346302,0.2996,28;42;56,1;5;7;9;11;13;15;21;33;35;37;47;49;51;59;63;67;71
energy-1st,115978,-1,0,0.348657,0.219017,28;42;56,1;5;9;11;13;15;21;33;35;37;47;49;51;53;63;67;69;71
energy-1st,116040,-1,0,0.229302,0.146943,28;42;56,1;7;9;11;13;15;21;33;35;37;47;49;51;59;63;65;67;71
energy-1st,116046,-1,0,0.584104,0.483598,28;42;56,1;9;11;13;15;19;21;33;35;37;47;49;51;59;63;65;67;71
energy-1st,116068,102194,1,0.109186,0.121146,28;42;56,1;5;7;9;11;13;15;21;33;35;37;47;49;51;59;63;65;71
energy-1st,116071,102623,1,0.001569,0.011468,28;42;56,1;5;7;9;11;13;15;21;33;35;37;47;49;51;63;65;69;71
energy-1st,116096,-1,0,0.333584,0.227833,28;42;56,1;5;9;11;13;15;21;35;37;47;49;51;59;63;65;67;69;71
energy-1st,116107,-1,0,0.240153,0.224935,28;42;56,1;5;7;9;11;13;15;21;35;37;47;49;51;63;65;67;69;71
energy-1st,116122,-1,0,0.162038,0.16323,28;42;56,1;5;9;11;13;15;19;21;35;37;47;49;51;63;65;67;69;71
energy-1st,116236,101186,1,0.43011,0.402569,28;42;56,1;5;9;11;13;15;21;35;37;47;49;51;53;59;63;65;69;71
energy-1st,116401,102693,1,0.228114,0.255378,28;42;56,1;3;5;7;9;11;13;15;21;33;35;37;47;49;51;63;69;71
energy-1st,116538,-1,0,0.890155,0.859685,28;42;56,1;3;9;11;13;15;19;21;37;47;49;51;53;59;63;67;69;71
energy-1st,116577,106604,1,0.160758,0.190065,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;51;53;63;69;71
energy-1st,116697,-1,0,0.34553,0.357537,28;42;56,1;3;7;9;11;13;15;21;33;37;47;49;51;59;63;65;69;71
energy-1st,116725,-1,0,0.077428,0.118462,28;42;56,1;3;7;9;11;13;15;21;35;37;47;49;51;59;63;65;67;71
energy-1st,116727,-1,0,0.162161,0.126764,28;42;56,1;3;7;9;11;13;15;21;33;35;37;47;49;51;63;65;67;71
energy-1st,116728,103632,1,0.058267,0.097376,28;42;56,1;3;7;9;11;13;15;21;33;35;37;49;51;59;63;65;67;71
energy-1st,116729,-1,0,0.19982,0.206753,28;42;56,1;3;7;9;11;13;15;21;33;37;47;49;51;59;63;65;67;71
energy-1st,116778,-1,0,0.246084,0.261767,28;42;56,1;3;5;9;11;13;15;21;33;35;37;47;49;51;63;65;69;71
energy-1st,116784,103704,1,0.203006,0.226382,28;42;56,1;3;5;7;9;11;13;15;21;33;35;37;49;51;59;63;65;71
energy-1st,116787,-1,0,0.104554,0.162985,28;42;56,1;3;5;7;9;11;13;15;21;35;37;47;49;51;63;65;69;71
energy-1st,116873,-1,0,0.776704,0.682829,28;42;56,1;3;5;9;11;13;15;19;21;33;35;37;49;51;63;65;67;71
energy-1st,116973,-1,0,0.36217,0.319242,28;42;56,1;3;7;9;11;13;15;21;35;37;47;49;51;53;63;65;67;71
energy-1st,117871,-1,0,0.695628,0.54484,28;42;56,1;3;5;7;9;11;13;21;33;37;39;47;49;51;53;63;69;71
energy-1st,119112,101258,1,0.52051,0.455092,28;42;56,1;5;9;11;13;15;21;35;37;39;47;49;51;53;63;65;69;71
energy-1st,119651,106025,1,0.589272,0.562372,28;42;56,1;3;5;9;11;13;15;21;35;37;39;49;51;53;63;67;69;71
energy-1st,121881,-1,0,1.846477,1.388601,28;42;56,3;5;9;11;15;19;21;25;33;35;37;39;49;51;53;59;65;69
energy-1st,124842,-1,0,2.487501,2.219292,28;42;56,3;5;7;9;11;19;21;25;37;39;49;51;59;63;65;67;69;71
energy-1st,127268,-1,0,1.352048,1.128088,28;42;56,1;3;7;9;11;15;21;25;33;35;37;39;47;49;53;59;67;71
energy-1st,133525,-1,0,0.723266,0.650266,28;42;56,1;3;9;11;15;21;25;35;37;39;47;49;53;63;65;67;69;71
energy-1st,134124,-1,0,0.497112,0.419248,28;42;56,1;3;7;9;11;19;21;25;33;35;37;49;51;59;63;65;67;71
energy-1st,134752,-1,0,0.556679,0.403306,28;42;56,1;7;9;11;15;21;25;33;35;37;49;51;53;59;63;65;67;71
energy-1st,154437,-1,0,0.25835,0.186367,28;42;56,1;3;5;7;9;11;13;21;25;33;35;37;49;51;53;59;67;71
energy-1st,155676,-1,0,0.290915,0.289962,28;42;56,1;3;7;9;11;13;15;21;25;33;35;37;49;51;59;65;67;71
energy-1st,157343,-1,0,0.630032,0.54106,28;42;56,1;3;5;9;11;13;21;25;35;37;39;49;51;53;59;65;67;69
energy-1st,159949,-1,0,0.82764,0.75497,28;42;56,1;5;9;11;13;15;19;21;25;35;37;47;49;53;59;63;67;71
energy-1st,160420,-1,0,1.355059,1.202138,28;42;56,1;3;5;7;9;11;13;15;19;21;25;33;37;47;49;59;63;67
energy-1st,160580,-1,0,0.612712,0.590218,28;42;56,1;3;5;9;11;13;15;21;25;35;37;47;49;53;63;67;69;71
energy-1st,162823,-1,0,0.565612,0.452462,28;42;56,1;5;7;9;11;13;15;21;25;33;35;37;39;49;59;63;65;69
energy-1st,164347,98823,1,0.071369,0.051212,28;42;56,1;5;7;9;11;13;21;25;33;35;37;49;51;59;63;65;67;71
energy-1st,164645,-1,0,0.209162,0.240143,28;42;56,1;3;5;7;9;11;13;21;25;33;35;37;49;51;59;63;69;71
energy-1st,164677,99225,1,0.020187,0.066031,28;42;56,1;3;5;7;9;11;13;21;25;33;35;37;49;51;59;63;67;71
energy-1st,164821,-1,0,0.137527,0.190532,28;42;56,1;3;5;7;9;11;13;21;25;35;37;49;51;53;59;63;69;71
energy-1st,164881,105574,1,0.013547,0.059602,28;42;56,1;3;5;7;9;11;13;21;25;35;37;49;51;53;59;63;67;71
energy-1st,164971,98829,1,0.038588,0.029519,28;42;56,1;3;7;9;11;13;21;25;33;35;37;49;51;59;63;65;67;71
energy-1st,165027,99075,2,0.00689,0.036266,28;42;56,1;3;5;7;9;11;13;21;25;33;35;37;49;51;59;63;65;71
energy-1st,165029,-1,0,0.229333,0.213753,28;42;56,1;3;5;7;9;11;13;21;25;35;37;47;49;51;59;63;65;69
energy-1st,165031,-1,0,0.016466,0.103463,28;42;56,1;3;5;7;9;11;13;21;25;35;37;49;51;59;63;65;69;71
energy-1st,165091,-1,0,0.045536,0.10982,28;42;56,1;3;5;7;9;11;13;21;25;35;37;49;51;59;63;65;67;71
energy-1st,165296,98985,4,0.231874,0.222125,28;42;56,1;3;5;7;9;11;13;21;25;35;37;49;51;53;59;63;65;69
energy-1st,165316,100833,2,0.373051,0.341928,28;42;56,1;3;5;9;11;13;19;21;25;35;37;49;51;53;59;63;65;69
energy-1st,165673,-1,0,0.186202,0.19803,28;42;56,1;5;7;9;11;13;15;21;25;35;37;49;51;53;59;63;67;71
energy-1st,165816,-1,0,0.30804,0.315855,28;42;56,1;5;7;9;11;13;15;21;25;35;37;47;49;51;59;63;65;71
energy-1st,165822,-1,0,0.119055,0.137929,28;42;56,1;5;7;9;11;13;15;21;25;35;37;47;49;51;63;65;69;71
energy-1st,165823,-1,0,0.092773,0.10383,28;42;56,1;5;7;9;11;13;15;21;25;35;37;49;51;59;63;65;69;71
energy-1st,165825,-1,0,0.471596,0.418183,28;42;56,1;5;7;9;11;13;15;21;25;33;35;37;47;49;51;63;65;69
energy-1st,165828,100291,1,0.101299,0.091215,28;42;56,1;5;7;9;11;13;15;21;25;33;35;37;49;51;63;65;69;71
energy-1st,165883,-1,0,0.090989,0.1035,28;42;56,1;5;7;9;11;13;15;21;25;35;37;49;51;59;63;65;67;71
energy-1st,166143,-1,0,0.471853,0.413204,28;42;56,1;5;9;11;13;15;21;25;35;37;49;51;53;59;63;65;67;69
energy-1st,166558,-1,0,0.533442,0.453795,28;42;56,1;3;5;7;9;11;13;15;21;25;33;37;49;51;53;63;69;71
energy-1st,166663,-1,0,0.177666,0.240372,28;42;56,1;3;7;9;11;13;15;21;25;35;37;49;51;59;63;65;69;71
energy-1st,166723,-1,0,0.053972,0.130663,28;42;56,1;3;7;9;11;13;15;21;25;35;37;49;51;59;63;65;67;71
energy-1st,166734,-1,0,0.207934,0.265083,28;42;56,1;3;7;9;11;13;15;21;25;35;37;49;51;63;65;67;69;71
energy-1st,168268,-1,0,0.372321,0.31764,28;42;56,1;3;5;7;9;11;13;21;25;35;37;39;49;51;53;63;69;71
energy-1st,169362,-1,0,0.496276,0.429479,28;42;56,1;7;9;11;13;15;21;25;35;37;39;47;49;51;63;65;67;71
energy-1st,173646,-1,0,1.372774,1.153819,28;42;56,3;5;7;9;11;13;15;21;33;35;39;47;53;59;61;67;69;71
energy-1st,177982,-1,0,1.239536,1.089861,28;42;56,1;3;5;9;11;13;15;19;21;33;35;47;53;59;61;63;67;71
energy-1st,186227,-1,0,1.030483,0.857311,28;42;56,1;3;7;9;11;15;19;21;25;35;39;47;51;53;61;65;67;71
energy-1st,186979,-1,0,1.168788,1.076224,28;42;56,1;3;5;7;9;11;21;25;35;39;53;59;61;63;65;67;69;71
energy-1st,187561,-1,0,0.538286,0.496027,28;42;56,1;3;7;9;11;15;21;25;35;39;47;53;59;61;63;65;67;71
energy-1st,189477,-1,0,0.955916,0.830947,28;42;56,1;5;9;11;15;19;21;25;33;35;39;47;51;59;61;63;67;71
energy-1st,193604,-1,0,0.640023,0.558649,28;42;56,3;7;9;11;13;15;21;25;33;35;39;47;59;61;63;65;67;71
energy-1st,196209,-1,0,0.543596,0.477359,28;42;56,3;5;7;9;11;13;15;21;25;33;35;39;51;59;61;63;67;71
energy-1st,198561,-1,0,0.927709,0.856979,28;42;56,1;3;5;7;9;11;13;19;21;25;35;51;53;59;61;65;67;71
energy-1st,198817,-1,0,0.992,0.943434,28;42;56,1;3;5;7;9;11;13;15;21;25;33;35;47;51;59;61;67;71
energy-1st,200769,-1,0,0.689855,0.617424,28;42;56,1;3;5;9;11;13;15;21;25;35;39;47;51;53;59;61;67;69
energy-1st,200781,-1,0,0.528297,0.490189,28;42;56,1;3;5;7;9;11;13;15;21;25;35;39;51;53;59;61;67;71
energy-1st,203933,-1,0,0.925801,0.894606,28;42;56,1;3;5;7;9;11;13;15;21;25;35;39;47;61;63;65;69;71
energy-1st,204477,-1,0,1.293514,1.11385,28;42;56,1;5;7;9;11;13;21;25;47;51;53;59;61;63;65;67;69;71
energy-1st,208915,-1,0,0.40162,0.470025,28;42;56,1;3;7;9;11;13;15;21;25;35;39;51;59;61;63;65;67;71
energy-1st,214216,-1,0,1.485564,1.315849,28;42;56,1;7;9;11;15;19;21;33;35;37;39;59;61;63;65;67;69;71
energy-1st,228652,-1,0,1.437268,1.213117,28;42;56,1;3;5;7;9;11;13;19;21;33;35;37;47;53;61;63;65;69
energy-1st,231507,-1,0,0.735576,0.602241,28;42;56,1;5;7;9;11;13;21;33;35;37;47;51;61;63;65;67;69;71
energy-1st,232498,-1,0,0.990836,0.930431,28;42;56,1;7;9;11;13;15;19;21;37;47;51;53;59;61;63;65;67;71
energy-1st,232907,-1,0,0.524615,0.541221,28;42;56,1;3;5;9;11;13;15;21;35;37;47;51;53;61;63;67;69;71
energy-1st,235457,-1,0,0.862282,0.760487,28;42;56,1;5;9;11;13;15;21;35;37;39;47;51;53;61;63;65;67;71
energy-1st,236072,-1,0,1.135382,0.969814,28;42;56,1;3;9;11;13;15;19;21;33;35;37;39;51;61;63;65;67;71
energy-1st,240316,99658,1,0.645632,0.563995,28;42;56,3;7;9;11;15;19;21;25;33;35;37;51;59;61;63;65;67;71
energy-1st,240365,-1,0,0.561147,0.532909,28;42;56,3;5;7;9;11;15;21;25;33;35;37;51;59;61;63;65;67;71
energy-1st,246466,-1,0,0.641034,0.589336,28;42;56,1;3;5;9;11;15;21;25;35;37;39;47;51;53;61;67;69;71
energy-1st,246482,-1,0,0.833629,0.634695,28;42;56,1;3;5;7;9;11;15;21;25;33;35;37;39;51;53;61;67;71
energy-1st,246567,97690,1,0.270835,0.216787,28;42;56,1;3;7;9;11;15;21;25;33;35;37;39;51;59;61;65;67;71
energy-1st,247746,-1,0,1.320346,1.236937,28;42;56,1;3;5;7;9;11;15;21;25;33;37;47;61;63;65;67;69;71
energy-1st,254493,-1,0,0.595371,0.529618,28;42;56,1;3;5;9;11;15;21;25;35;37;39;51;53;59;61;63;67;69
energy-1st,254556,-1,0,0.507924,0.446114,28;42;56,1;3;7;9;11;15;21;25;33;35;37;39;51;61;63;65;69;71
energy-1st,256718,-1,0,1.44243,1.258228,28;42;56,5;7;9;11;13;15;19;21;25;35;37;47;51;59;61;65;69;71
energy-1st,259957,-1,0,0.854086,0.795632,28;42;56,3;5;7;9;11;13;15;21;25;35;37;47;53;59;61;63;69;71
energy-1st,270720,-1,0,0.470743,0.45404,28;42;56,1;3;5;7;9;11;13;21;25;35;37;47;51;53;61;67;69;71
energy-1st,271413,-1,0,0.55574,0.492534,28;42;56,1;7;9;11;13;15;21;25;35;37;47;51;53;59;61;65;67;71
energy-1st,271872,-1,0,0.702413,0.624904,28;42;56,1;3;5;7;9;11;13;15;21;25;33;37;47;51;53;61;67;71
energy-1st,275807,-1,0,0.68036,0.66029,28;42;56,1;3;5;7;9;11;13;21;25;35;37;47;59;61;63;65;69;71
energy-1st,276814,-1,0,0.783487,0.722258,28;42;56,1;3;5;7;9;11;13;15;21;25;33;35;37;53;59;61;63;69
energy-1st,277627,-1,0,0.642645,0.58939,28;42;56,1;5;7;9;11;13;21;25;35;37;39;47;61;63;65;67;69;71
energy-1st,278585,-1,0,0.910869,0.867769,28;42;56,1;3;5;9;11;13;19;21;25;37;39;47;53;59;61;63;65;71
energy-1st,280711,-1,0,0.687678,0.51949,28;42;56,1;7;9;11;13;21;25;33;35;37;51;53;59;61;63;65;67;71
energy-1st,282624,-1,0,0.737,0.762604,28;42;56,1;3;5;7;9;11;13;15;21;25;35;37;47;51;61;63;67;71
energy-1st,283012,-1,0,0.37346,0.405472,28;42;56,1;3;7;9;11;13;15;21;25;35;37;51;59;61;63;65;67;69
energy-1st,285330,-1,0,1.043364,0.958809,28;42;56,1;7;9;11;13;15;21;25;35;37;39;47;51;53;61;63;69;71
energy-1st,285718,-1,0,0.701347,0.569344,28;42;56,1;5;7;9;11;13;15;21;25;33;35;37;39;51;61;63;65;71
energy-1st,286289,-1,0,1.394784,1.280554,28;42;56,1;3;9;11;13;15;21;25;35;37;39;47;51;53;59;61;63;69
energy-1st,291684,-1,0,1.960123,1.706439,28;42;56,1;7;9;11;15;19;21;33;35;39;47;49;53;59;61;63;69;71
energy-1st,302200,-1,0,0.603676,0.484971,28;42;56,1;3;5;9;11;13;19;21;35;39;47;49;53;59;61;65;67;69
energy-1st,302317,-1,0,1.307214,1.12445,28;42;56,1;5;7;9;11;13;15;19;21;33;35;39;47;49;61;65;67;71
energy-1st,304255,-1,0,1.006293,0.931325,28;42;56,1;3;5;9;11;13;19;21;35;39;47;49;51;53;59;61;69;71
energy-1st,306180,-1,0,1.043928,0.791163,28;42;56,1;3;5;9;11;13;21;33;35;47;49;53;59;61;63;65;67;69
energy-1st,310437,-1,0,0.8167,0.829565,28;42;56,1;3;5;7;9;11;13;15;21;35;47;49;51;53;61;63;67;71
energy-1st,310651,-1,0,0.959513,0.926056,28;42;56,1;3;5;7;9;11;13;15;21;33;35;49;51;59;61;63;65;67
energy-1st,313550,-1,0,0.78154,0.817394,28;42;56,1;3;9;11;13;15;21;35;39;47;49;51;59;61;63;65;67;71
energy-1st,327198,-1,0,0.527785,0.467149,28;42;56,1;3;5;9;11;15;21;25;35;39;47;49;59;61;63;65;67;69
energy-1st,330437,108287,1,0.359392,0.363095,28;42;56,1;3;5;7;9;11;21;25;35;39;47;49;51;59;61;63;65;69
