orbit_id,orbit_size,canonical_ga,d_sq_signature,n_patterns
0,12,0;28;56,12.000000;12.000000;12.000000,6691
1,36,0;4;8,4.000000;4.000000;4.000000,17332
2,36,0;4;24,4.000000;4.000000;4.000000,20381
3,36,0;4;52,4.000000;4.000000;4.000000,19548
4,108,0;4;30,4.000000;7.000000;7.000000,16061
5,108,0;4;58,4.000000;7.000000;7.000000,16061
6,108,0;14;28,3.000000;3.000000;12.000000,14896
7,216,0;4;18,3.000000;4.000000;7.000000,29791
8,216,0;4;26,3.000000;4.000000;7.000000,32116
9,216,0;4;28,4.000000;4.000000;12.000000,122317
10,216,0;4;38,4.000000;7.000000;7.000000,29791
11,216,0;4;50,3.000000;4.000000;7.000000,32116
12,216,0;4;68,3.000000;4.000000;7.000000,29791
13,216,0;16;44,7.000000;7.000000;12.000000,29791
