config_id,ga_orbit,n_tilings,ga_faces,h_faces
17695,1,4,0;4;8,13;15;19;21;27;29;33;35;37;41;43;47;49;51;53;55;57;59
17697,1,2,0;4;8,13;15;19;21;27;29;33;35;37;41;43;47;49;51;53;55;57;71
32136,2,3,0;4;24,7;9;15;17;21;29;31;33;37;39;43;45;51;53;57;59;67;71
40534,2,6,0;4;24,7;9;17;21;27;29;31;33;37;39;43;45;51;53;57;59;67;71
55437,3,7,0;4;52,7;9;13;15;19;21;27;29;33;35;37;43;47;49;55;57;59;69
55441,3,5,0;4;52,7;9;13;15;19;21;27;29;33;35;37;43;47;49;55;57;69;71
63328,3,4,0;4;52,7;13;15;19;21;23;27;29;33;35;37;43;47;49;55;57;69;71
63405,3,3,0;4;52,7;13;15;19;21;25;27;29;33;35;37;43;47;49;55;57;69;71
63458,3,5,0;4;52,7;13;15;19;21;27;29;33;35;37;39;43;47;55;57;59;69;71
74235,4,3,0;4;30,7;13;15;21;27;33;35;37;39;43;47;49;51;53;55;57;69;71
74241,4,3,0;4;30,7;13;15;21;27;33;35;37;39;43;47;51;53;55;57;59;69;71
74281,4,2,0;4;30,7;13;15;21;27;33;35;37;41;43;47;49;51;53;55;57;69;71
74295,4,3,0;4;30,7;13;15;21;27;33;35;37;41;45;47;49;51;53;55;57;69;71
78969,4,2,0;4;30,7;15;21;23;25;27;35;37;39;43;45;51;53;55;57;59;69;71
91192,5,2,0;4;58,7;13;15;19;21;27;29;31;33;35;37;39;43;51;53;55;69;71
102623,6,1,0;14;28,5;7;19;21;33;35;37;41;43;47;49;51;53;55;57;65;69;71
102629,6,1,0;14;28,5;7;19;21;33;35;37;41;43;47;49;51;55;57;63;65;69;71
108518,6,1,0;14;28,7;9;21;23;31;35;37;39;43;45;47;51;53;57;59;65;67;71
109046,6,1,0;14;28,7;9;21;31;33;35;37;39;43;45;47;51;53;57;59;65;67;71
109050,6,1,0;14;28,7;9;21;31;33;35;37;39;43;47;51;53;55;57;59;65;67;71
118459,7,1,0;4;18,9;13;23;25;27;31;33;39;41;45;47;49;51;53;55;57;59;69
118462,7,1,0;4;18,9;13;23;25;27;31;33;39;41;45;47;49;51;53;55;59;67;69
125249,7,1,0;4;18,13;15;21;27;29;33;35;37;41;43;47;49;51;53;55;57;69;71
125252,7,1,0;4;18,13;15;21;27;29;33;35;37;41;43;47;49;51;55;57;63;69;71
130525,7,1,0;4;18,13;21;25;27;29;33;35;37;41;43;47;49;51;53;55;57;69;71
130528,7,1,0;4;18,13;21;25;27;29;33;35;37;41;43;47;49;51;55;57;63;69;71
136557,7,1,0;4;18,15;21;23;25;29;31;35;37;39;43;45;51;53;55;57;59;69;71
155897,8,2,0;4;26,7;13;19;21;29;33;35;37;41;43;47;49;51;53;55;57;69;71
162065,8,2,0;4;26,7;19;21;23;29;31;35;37;39;43;45;51;53;55;57;59;69;71
162409,8,2,0;4;26,7;19;21;23;29;33;35;37;41;43;47;49;51;53;55;57;69;71
169584,8,2,0;4;26,9;17;19;23;31;33;35;39;41;45;47;49;51;53;55;59;67;69
202698,9,2,0;4;28,7;9;13;21;23;25;31;35;37;39;43;45;51;53;57;59;67;71
207927,9,5,0;4;28,7;9;13;21;25;31;33;35;37;39;43;45;51;53;57;59;67;71
233053,9,2,0;4;28,7;13;15;19;21;33;35;37;41;43;47;49;51;53;55;57;69;71
233056,9,2,0;4;28,7;13;15;19;21;33;35;37;41;43;47;49;51;55;57;63;69;71
244357,9,5,0;4;28,7;13;19;21;25;33;35;37;41;43;47;49;51;53;55;57;69;71
244366,9,2,0;4;28,7;13;19;21;25;33;35;37;41;43;47;49;51;55;57;63;69;71
277924,9,6,0;4;28,9;13;19;23;25;31;33;37;41;45;47;49;51;53;55;59;67;69
278046,9,3,0;4;28,9;13;19;23;25;31;33;39;41;45;47;49;51;53;55;59;67;69
278066,9,5,0;4;28,9;13;19;23;25;31;33;39;43;45;47;49;51;53;55;59;67;69
278069,9,6,0;4;28,9;13;19;23;25;31;33;39;43;45;47;49;51;53;57;59;67;69
300882,10,1,0;4;38,7;9;13;17;21;23;25;29;31;35;43;45;51;53;57;59;67;71
301764,10,1,0;4;38,7;9;13;17;21;25;29;31;33;35;43;45;51;53;57;59;67;71
312919,10,1,0;4;38,7;13;15;19;21;29;31;33;35;43;47;51;53;55;57;59;69;71
312949,10,1,0;4;38,7;13;15;19;21;29;33;35;41;43;47;51;53;55;57;59;69;71
312950,10,1,0;4;38,7;13;15;19;21;29;33;35;41;43;47;51;55;57;59;63;69;71
316444,10,1,0;4;38,7;15;19;21;23;25;29;31;35;43;45;51;53;55;57;59;69;71
321728,10,1,0;4;38,9;13;17;19;23;25;31;33;41;45;47;49;51;53;55;59;67;69
