config_id,n_tilings,energy_eV,converged
21882,66,-2594.883002,1
40652,66,-2594.875380,1
58857,66,-2594.884810,1
208390,58,-2594.878470,1
6206,42,-2594.865775,1
14242,34,-2594.754240,1
21821,34,-2594.686903,1
6842,32,-2594.393202,1
6845,32,-2594.411314,1
6888,32,-2594.426657,1
6891,32,-2594.438620,1
21771,32,-2594.210555,1
21900,32,-2594.891486,1
23775,32,-2594.062575,1
23801,32,-2594.782019,1
23802,32,-2594.782996,1
8958,27,-2594.589568,1
21784,27,-2594.460066,1
19155,26,-2594.711714,1
21858,26,-2594.715041,1
39254,26,-2594.701323,1
40476,26,-2594.695815,1
40639,26,-2594.755209,1
52864,26,-2594.751921,1
53128,26,-2594.749854,1
57442,26,-2594.703108,1
198747,26,-2594.732687,1
207752,26,-2594.730170,1
208149,26,-2594.701704,1
208279,26,-2594.722411,1
208326,26,-2594.706801,1
208389,26,-2594.750479,1
6851,24,-2594.430106,1
6854,24,-2594.438689,1
6857,24,-2594.435637,1
6864,24,-2594.447821,1
6871,24,-2594.446333,1
6872,24,-2594.451186,1
6882,24,-2594.451804,1
6885,24,-2594.456213,1
8763,24,-2594.373312,1
8770,24,-2594.384612,1
9042,24,-2594.605475,1
9916,24,-2594.329131,1
9923,24,-2594.341284,1
10017,24,-2594.547522,1
10054,24,-2594.575881,1
13948,24,-2594.281073,1
13955,24,-2594.325087,1
14365,24,-2594.767798,1
17721,24,-2594.234831,1
17728,24,-2594.245116,1
17822,24,-2594.677481,1
17859,24,-2594.681807,1
21794,24,-2594.470946,1
21849,24,-2594.702658,1
23780,24,-2594.338988,1
23784,24,-2594.342818,1
23793,24,-2594.571387,1
23797,24,-2594.581839,1
14069,23,-2594.726027,1
14076,23,-2594.722983,1
14199,22,-2594.585501,1
31198,22,-2594.589652,1
32350,22,-2594.731673,1
37635,22,-2594.719756,1
40653,22,-2594.711195,1
56779,22,-2594.705893,1
58839,22,-2594.715498,1
58851,22,-2594.710272,1
58853,22,-2594.479010,1
192522,22,-2594.708731,1
201972,22,-2594.748351,1
205893,22,-2594.566626,1
207770,22,-2594.737502,1
208003,22,-2594.710478,1
208156,22,-2594.691351,1
208329,22,-2594.717658,1
208394,22,-2594.751898,1
208993,22,-2594.689780,1
210181,22,-2594.722823,1
227724,22,-2594.708182,1
242022,22,-2594.744948,1
283191,22,-2594.695548,1
8856,20,-2594.586020,1
8927,20,-2594.617209,1
13975,20,-2594.533919,1
13982,20,-2594.502913,1
14201,20,-2594.565794,1
14227,20,-2594.591918,1
40753,20,-2594.858153,1
61380,20,-2594.820456,1
8790,19,-2594.582839,1
8797,19,-2594.576483,1
8853,19,-2594.594473,1
8929,19,-2594.556128,1
9512,19,-2594.584815,1
11535,19,-2594.618781,1
14033,19,-2594.503119,1
14043,19,-2594.532149,1
14226,19,-2594.544554,1
17056,19,-2594.683554,1
18212,19,-2594.681693,1
21789,19,-2594.431906,1
21804,19,-2594.545722,1
21842,19,-2594.671935,1
21851,19,-2594.717513,1
8812,18,-2594.576369,1
8819,18,-2594.545996,1
8840,18,-2594.403166,1
8843,18,-2594.447493,1
8869,18,-2594.420081,1
8876,18,-2594.427611,1
8896,18,-2594.598525,1
8899,18,-2594.538741,1
8916,18,-2594.434050,1
8919,18,-2594.417059,1
8954,18,-2594.438757,1
8955,18,-2594.457770,1
8982,18,-2594.486327,1
8985,18,-2594.440131,1
9006,18,-2594.597250,1
9007,18,-2594.620245,1
9032,18,-2594.505774,1
9033,18,-2594.465323,1
9932,18,-2594.377844,1
9935,18,-2594.378279,1
9938,18,-2594.367705,1
9945,18,-2594.420332,1
9953,18,-2594.528067,1
9956,18,-2594.505240,1
