global_id,class_id,is_visual_rep,r1,r2,r3,r4,r5,r6,r7,r8,r9,n_up,n_ne,n_nw
1,1,1,"up(0,0)","up(0,2)","up(0,4)","up(2,0)","up(2,2)","up(2,4)","up(4,0)","up(4,2)","up(4,4)",9,0,0
2,1,0,"up(5,0)","up(5,2)","up(5,4)","up(1,0)","up(1,2)","up(1,4)","up(3,0)","up(3,2)","up(3,4)",9,0,0
3,1,0,"ne(2,4)","ne(2,0)","ne(2,2)","ne(4,4)","ne(4,0)","ne(4,2)","ne(0,4)","ne(0,0)","ne(0,2)",0,9,0
4,1,0,"ne(1,5)","ne(1,1)","ne(1,3)","ne(3,3)","ne(3,5)","ne(3,1)","ne(5,3)","ne(5,5)","ne(5,1)",0,9,0
5,1,0,"nw(2,0)","nw(4,0)","nw(2,2)","nw(4,2)","nw(2,4)","nw(4,4)","nw(0,0)","nw(0,2)","nw(0,4)",0,0,9
6,1,0,"up(0,5)","up(0,1)","up(0,3)","up(2,5)","up(2,1)","up(2,3)","up(4,5)","up(4,1)","up(4,3)",9,0,0
7,1,0,"up(5,5)","up(5,1)","up(5,3)","up(1,5)","up(1,1)","up(1,3)","up(3,5)","up(3,1)","up(3,3)",9,0,0
8,1,0,"nw(3,5)","nw(1,1)","nw(3,1)","nw(1,3)","nw(3,3)","nw(1,5)","nw(5,5)","nw(5,1)","nw(5,3)",0,0,9
9,1,0,"ne(2,3)","ne(2,5)","ne(2,1)","ne(4,3)","ne(4,5)","ne(4,1)","ne(0,3)","ne(0,5)","ne(0,1)",0,9,0
10,1,0,"ne(1,4)","ne(1,0)","ne(1,2)","ne(3,4)","ne(3,0)","ne(3,2)","ne(5,4)","ne(5,0)","ne(5,2)",0,9,0
11,1,0,"nw(2,5)","nw(4,5)","nw(2,1)","nw(4,1)","nw(2,3)","nw(4,3)","nw(0,5)","nw(0,1)","nw(0,3)",0,0,9
12,1,0,"nw(1,0)","nw(3,0)","nw(1,2)","nw(3,2)","nw(1,4)","nw(3,4)","nw(5,0)","nw(5,2)","nw(5,4)",0,0,9
13,2,0,"up(0,0)","nw(2,2)","ne(2,2)","nw(4,4)","ne(4,4)","nw(0,0)","up(2,2)","ne(0,0)","up(4,4)",3,3,3
14,2,0,"up(5,0)","nw(1,2)","ne(1,2)","nw(3,4)","ne(3,4)","nw(5,0)","up(1,2)","ne(5,0)","up(3,4)",3,3,3
15,2,0,"ne(2,4)","nw(4,0)","up(0,2)","nw(2,4)","ne(4,0)","nw(0,2)","up(2,4)","up(4,0)","ne(0,2)",3,3,3
16,2,0,"ne(1,5)","nw(3,1)","up(5,3)","nw(1,5)","up(1,5)","ne(3,1)","nw(5,3)","ne(5,3)","up(3,1)",3,3,3
17,2,0,"nw(2,0)","ne(2,0)","nw(4,2)","up(0,4)","up(2,0)","ne(4,2)","nw(0,4)","ne(0,4)","up(4,2)",3,3,3
18,2,0,"up(0,5)","nw(2,1)","ne(2,1)","nw(4,3)","ne(4,3)","nw(0,5)","up(2,1)","ne(0,5)","up(4,3)",3,3,3
19,2,0,"up(5,5)","nw(1,1)","ne(1,1)","nw(3,3)","ne(3,3)","nw(5,5)","up(1,1)","ne(5,5)","up(3,3)",3,3,3
20,2,0,"nw(3,5)","up(5,1)","nw(1,3)","ne(1,3)","ne(3,5)","nw(5,1)","up(1,3)","up(3,5)","ne(5,1)",3,3,3
21,2,0,"ne(2,3)","nw(4,5)","up(0,1)","nw(2,3)","ne(4,5)","nw(0,1)","up(2,3)","up(4,5)","ne(0,1)",3,3,3
22,2,0,"ne(1,4)","nw(3,0)","up(5,2)","nw(1,4)","ne(3,0)","nw(5,2)","up(1,4)","up(3,0)","ne(5,2)",3,3,3
23,2,0,"nw(2,5)","ne(2,5)","nw(4,1)","up(0,3)","up(2,5)","ne(4,1)","nw(0,3)","ne(0,3)","up(4,1)",3,3,3
24,2,1,"nw(1,0)","ne(1,0)","nw(3,2)","up(5,4)","up(1,0)","ne(3,2)","nw(5,4)","ne(5,4)","up(3,2)",3,3,3
25,3,0,"up(0,0)","up(0,2)","up(0,4)","up(2,0)","up(2,2)","up(2,4)","ne(0,4)","ne(0,0)","ne(0,2)",6,3,0
26,3,1,"up(0,0)","up(0,2)","up(0,4)","ne(4,4)","ne(4,0)","ne(4,2)","up(4,0)","up(4,2)","up(4,4)",6,3,0
27,3,0,"up(0,0)","up(0,2)","up(0,4)","ne(4,4)","ne(4,0)","ne(4,2)","ne(0,4)","ne(0,0)","ne(0,2)",3,6,0
28,3,0,"up(0,0)","up(0,2)","nw(2,4)","nw(4,4)","up(2,0)","up(2,2)","nw(0,4)","up(4,0)","up(4,2)",6,0,3
29,3,0,"up(0,0)","nw(2,2)","nw(4,2)","up(0,4)","up(2,0)","nw(0,2)","up(2,4)","up(4,0)","up(4,4)",6,0,3
30,3,0,"up(0,0)","nw(2,2)","nw(4,2)","nw(2,4)","nw(4,4)","up(2,0)","nw(0,2)","nw(0,4)","up(4,0)",3,0,6
31,3,0,"up(5,0)","up(5,2)","up(5,4)","up(1,0)","up(1,2)","up(1,4)","ne(5,4)","ne(5,0)","ne(5,2)",6,3,0
32,3,0,"up(5,0)","up(5,2)","up(5,4)","ne(3,4)","ne(3,0)","ne(3,2)","up(3,0)","up(3,2)","up(3,4)",6,3,0
